date,sentiment,word_1,word_2,word_3,word_4,word_5,word_6,word_7,word_8,word_9,word_10
2009-05,0.1376190476190476,"('donald', 17)","('trump', 17)","('j', 10)","('like', 6)","('champion', 5)","('think', 5)","('new', 4)","('book', 4)","('keep', 3)","('know', 3)"
2009-06,0.17272727272727273,"('donald', 7)","('trump', 6)","('j', 3)","('dont', 2)","('–donald', 2)","('champion', 2)","('wishes', 2)","('birthday', 2)","('today', 2)","('trumps', 2)"
2009-07,0.09,"('trump', 4)","('donald', 4)","('j', 2)","('like', 1)","('nj', 1)","('blog', 1)","('list', 1)","('innovation', 1)","('safe', 1)","('think', 1)"
2009-08,0.09714285714285716,"('donald', 4)","('trump', 3)","('live', 2)","('universe', 2)","('competition', 2)","('bahamas', 2)","('nbc', 2)","('trumps', 2)","('watch', 2)","('miss', 2)"
2009-09,0.07333333333333335,"('trump', 3)","('donald', 3)","('imagination', 2)","('dsrl', 1)","('race', 1)","('ten', 1)","('hysterical', 1)","('cant', 1)","('tips', 1)","('plus', 1)"
2009-10,0.24,"('trump', 5)","('donald', 3)","('ivanka', 2)","('advice', 1)","('i’m', 1)","('watch', 1)","('read', 1)","('spectacular', 1)","('couple', 1)","('cavuto', 1)"
2009-11,0.5233333333333333,"('trump', 2)","('bountiful', 1)","('schedule', 1)","('donald', 1)","('begun', 1)","('series', 1)","('greatest', 1)","('history', 1)","('entitled', 1)","('happy', 1)"
2009-12,0.305,"('trump', 2)","('year', 1)","('international', 1)","('holiday', 1)","('tall', 1)","('donald', 1)","('think', 1)","('like', 1)","('chicago', 1)","('prosperous', 1)"
2010-01,0.4875,"('trump', 2)","('donald', 2)","('golf', 2)","('celebrity', 2)","('ca', 1)","('lady', 1)","('kevin', 1)","('la', 1)","('trumps', 1)","('season', 1)"
2010-02,0.3375,"('trump', 3)","('donald', 3)","('“i’m', 1)","('launch', 1)","('special', 1)","('international’s', 1)","('‘connector', 1)","('today', 1)","('already', 1)","('superbowl', 1)"
2010-03,0.283,"('apprentice', 8)","('trump', 4)","('celebrity', 3)","('season', 3)","('call', 2)","('casting', 2)","('pm', 2)","('nbc', 2)","('sunday', 2)","('new', 2)"
2010-04,0.32999999999999996,"('melania', 7)","('great', 7)","('pm', 6)","('night', 5)","('trump', 5)","('et', 4)","('fantastic', 4)","('tune', 4)","('sure', 3)","('collection', 3)"
2010-05,0.3282352941176471,"('miss', 7)","('apprentice', 6)","('usa', 6)","('celebrity', 6)","('bret', 5)","('pageant', 4)","('new', 4)","('fantastic', 3)","('sunday', 3)","('michaels', 3)"
2010-06,0.22764705882352942,"('larry', 6)","('trump', 5)","('king', 5)","('ride', 4)","('fame', 4)","('one', 4)","('ill', 3)","('telethon', 3)","('great', 3)","('show', 3)"
2010-07,0.3876923076923078,"('contest', 3)","('apprentice', 3)","('work', 3)","('enter', 3)","('vegas', 3)","('las', 3)","('great', 2)","('hotel', 2)","('pm', 2)","('new', 2)"
2010-08,0.22647058823529415,"('miss', 7)","('universe', 6)","('pageant', 5)","('trump', 5)","('last', 4)","('golf', 3)","('club', 3)","('national', 3)","('great', 3)","('pm', 3)"
2010-09,0.23153846153846153,"('pm', 6)","('apprentice', 6)","('tune', 5)","('tonight', 4)","('nbc', 4)","('trump', 4)","('new', 4)","('show', 3)","('eric', 3)","('episode', 2)"
2010-10,0.4322222222222222,"('episode', 5)","('apprentice', 5)","('pm', 4)","('forget', 3)","('tonight', 3)","('exciting', 3)","('nbc', 3)","('dont', 2)","('another', 2)","('tune', 2)"
2010-11,0.31272727272727274,"('pm', 12)","('nbc', 4)","('great', 3)","('episode', 3)","('apprentice', 3)","('susteren', 2)","('friday', 2)","('thanksgiving', 2)","('honor', 2)","('van', 2)"
2010-12,0.354,"('trump', 5)","('hotel', 5)","('new', 5)","('apprentice', 4)","('international', 4)","('pm', 3)","('tower', 3)","('great', 3)","('fantastic', 2)","('king', 2)"
2011-01,-0.026666666666666665,"('golf', 4)","('cavuto', 3)","('night', 3)","('pm', 3)","('watch', 3)","('world', 3)","('dont', 3)","('neil', 3)","('jimmy', 2)","('late', 2)"
2011-02,0.153125,"('donald', 4)","('watch', 4)","('check', 4)","('trump', 4)","('desk', 3)","('todays', 3)","('questions', 3)","('march', 3)","('dc', 2)","('today', 2)"
2011-03,0.18083333333333335,"('video', 8)","('celebrity', 8)","('apprentice', 8)","('tonight', 8)","('pm', 7)","('watch', 6)","('last', 5)","('central', 5)","('comedy', 5)","('golf', 5)"
2011-04,0.17777777777777778,"('apprentice', 8)","('celebrity', 8)","('trumpvlog', 7)","('pm', 7)","('thoughts', 5)","('watch', 5)","('golf', 5)","('et', 4)","('episode', 4)","('questions', 4)"
2011-05,0.1763157894736842,"('watch', 7)","('golf', 5)","('trumps', 3)","('celebrity', 3)","('pm', 3)","('channel', 3)","('world', 3)","('fabulous', 3)","('trumpvlog', 3)","('apprentice', 3)"
2011-06,0.263125,"('new', 5)","('miss', 5)","('usa', 4)","('trumpvlog', 4)","('thoughts', 3)","('todays', 3)","('today', 2)","('huge', 2)","('night', 2)","('fox', 2)"
2011-07,0.10868421052631579,"('deal', 17)","('barackobama', 12)","('debt', 12)","('obama', 10)","('art', 9)","('great', 7)","('spending', 7)","('johnboehner', 6)","('gop', 6)","('trump', 6)"
2011-08,0.0703,"('trumpvlog', 11)","('barackobama', 11)","('cont', 11)","('interview', 10)","('america', 8)","('china', 8)","('deal', 7)","('debt', 7)","('libya', 6)","('show', 6)"
2011-09,0.10423423423423425,"('barackobama', 25)","('jobs', 14)","('interview', 14)","('cont', 11)","('tax', 10)","('economy', 10)","('must', 9)","('create', 8)","('great', 8)","('yesterday', 8)"
2011-10,0.12982300884955753,"('barackobama', 22)","('china', 13)","('cont', 11)","('lawrence', 10)","('last', 9)","('time', 8)","('trumpvlog', 7)","('stop', 6)","('iran', 6)","('fox', 6)"
2011-11,0.01532258064516129,"('barackobama', 34)","('cont', 17)","('timetogettough', 14)","('china', 12)","('america', 11)","('must', 10)","('iran', 9)","('committee', 9)","('super', 9)","('interview', 9)"
2011-12,0.11432432432432436,"('timetogettough', 64)","('barackobama', 41)","('debate', 37)","('cont', 35)","('book', 30)","('newsmax', 29)","('iontv', 25)","('great', 23)","('trump', 23)","('interview', 23)"
2012-01,0.1383516483516483,"('cont', 58)","('barackobama', 53)","('timetogettough', 20)","('interview', 18)","('president', 17)","('america', 16)","('keystone', 14)","('primary', 13)","('jobs', 13)","('china', 13)"
2012-02,0.09552529182879377,"('cont', 92)","('barackobama', 61)","('china', 33)","('mittromney', 26)","('interview', 21)","('discussing', 19)","('trump', 19)","('america', 18)","('great', 17)","('time', 14)"
2012-03,0.10849514563106794,"('cont', 82)","('barackobama', 51)","('mittromney', 27)","('interview', 17)","('gas', 15)","('ricksantorum', 14)","('ill', 11)","('barackobamas', 11)","('prices', 11)","('china', 11)"
2012-04,0.14527093596059118,"('cont', 70)","('barackobama', 40)","('china', 16)","('barackobamas', 14)","('interview', 12)","('new', 12)","('success', 12)","('get', 10)","('square', 10)","('time', 10)"
2012-05,0.12930909090909093,"('cont', 49)","('barackobama', 47)","('sweepstweet', 30)","('mittromney', 27)","('great', 25)","('interview', 21)","('discussing', 17)","('barackobamas', 17)","('celebrityapprentice', 15)","('good', 15)"
2012-06,0.14277533039647575,"('barackobama', 47)","('mittromney', 29)","('cont', 22)","('great', 21)","('interview', 16)","('new', 15)","('obamacare', 15)","('barackobamas', 14)","('trump', 12)","('miss', 11)"
2012-07,0.0978676470588235,"('barackobama', 78)","('barackobamas', 33)","('mittromney', 32)","('great', 26)","('cont', 17)","('interview', 16)","('trump', 16)","('obamacare', 16)","('tax', 15)","('records', 14)"
2012-08,0.1344562334217507,"('barackobama', 73)","('mittromney', 36)","('great', 34)","('trump', 30)","('china', 27)","('convention', 25)","('barackobamas', 23)","('interview', 19)","('get', 18)","('discussing', 18)"
2012-09,0.11520581113801454,"('obama', 69)","('great', 33)","('trump', 24)","('mittromney', 21)","('record', 20)","('obamas', 20)","('good', 17)","('years', 17)","('time', 17)","('cont', 16)"
2012-10,0.15381201044386422,"('obama', 192)","('great', 99)","('debate', 53)","('mittromney', 50)","('trump', 49)","('last', 44)","('would', 36)","('night', 34)","('yankees', 34)","('charity', 33)"
2012-11,0.1779107142857144,"('great', 53)","('obama', 52)","('trump', 43)","('thanks', 41)","('make', 25)","('never', 25)","('people', 24)","('good', 23)","('get', 21)","('deal', 20)"
2012-12,0.18410989010989012,"('great', 52)","('thanks', 46)","('trump', 34)","('deal', 28)","('good', 27)","('thank', 26)","('sugar', 24)","('lordsugar', 24)","('dopey', 23)","('like', 19)"
2013-01,0.13945945945945967,"('thanks', 137)","('great', 66)","('billmaher', 47)","('true', 45)","('good', 36)","('thank', 34)","('celebapprentice', 33)","('big', 33)","('think', 32)","('deal', 29)"
2013-02,0.1951835853131745,"('thanks', 249)","('great', 78)","('good', 72)","('trump', 58)","('via', 43)","('luck', 38)","('apprenticenbc', 29)","('people', 27)","('realdonaldtrump', 27)","('time', 27)"
2013-03,0.19065442020665907,"('realdonaldtrump', 200)","('thanks', 175)","('trump', 115)","('great', 107)","('celebapprentice', 83)","('good', 49)","('via', 47)","('think', 44)","('donald', 36)","('show', 36)"
2013-04,0.17155701754385963,"('realdonaldtrump', 312)","('great', 116)","('thanks', 106)","('trump', 80)","('celebapprentice', 68)","('people', 48)","('apprenticenbc', 44)","('like', 38)","('would', 36)","('think', 35)"
2013-05,0.16200520833333332,"('realdonaldtrump', 307)","('thanks', 106)","('great', 102)","('trump', 69)","('people', 47)","('like', 42)","('think', 40)","('would', 39)","('dannyzuker', 35)","('much', 32)"
2013-06,0.19764344262295075,"('realdonaldtrump', 172)","('great', 58)","('trump', 42)","('thank', 42)","('thanks', 39)","('best', 27)","('people', 24)","('golf', 23)","('think', 23)","('like', 21)"
2013-07,0.2065566714490673,"('realdonaldtrump', 310)","('trump', 89)","('thanks', 89)","('great', 85)","('thank', 48)","('think', 34)","('like', 33)","('true', 33)","('would', 32)","('get', 31)"
2013-08,0.19129958960328317,"('realdonaldtrump', 277)","('thanks', 99)","('trump', 97)","('great', 95)","('donald', 48)","('thank', 43)","('would', 40)","('obama', 35)","('president', 33)","('like', 31)"
2013-09,0.18568888888888896,"('realdonaldtrump', 309)","('great', 84)","('thanks', 69)","('trump', 68)","('president', 66)","('obama', 54)","('thank', 50)","('syria', 47)","('would', 45)","('good', 38)"
2013-10,0.16228318584070797,"('realdonaldtrump', 199)","('great', 67)","('trump', 63)","('thank', 57)","('thanks', 55)","('president', 42)","('obama', 39)","('obamacare', 39)","('nymag', 34)","('like', 32)"
2013-11,0.1746842105263159,"('realdonaldtrump', 75)","('great', 56)","('obamacare', 48)","('obama', 33)","('president', 30)","('trump', 29)","('thank', 27)","('thanks', 23)","('website', 20)","('like', 20)"
2013-12,0.16776000000000002,"('realdonaldtrump', 67)","('great', 42)","('trump', 39)","('new', 31)","('like', 27)","('thank', 26)","('thanks', 22)","('best', 20)","('people', 20)","('christmas', 20)"
2014-01,0.24824175824175831,"('realdonaldtrump', 147)","('great', 55)","('trump', 54)","('thanks', 44)","('president', 31)","('thank', 31)","('best', 29)","('like', 27)","('new', 25)","('would', 24)"
2014-02,0.22677524429967413,"('realdonaldtrump', 113)","('trump', 53)","('great', 51)","('thank', 32)","('thanks', 25)","('course', 21)","('president', 18)","('donald', 17)","('run', 17)","('think', 17)"
2014-03,0.22279999999999997,"('realdonaldtrump', 170)","('trump', 48)","('great', 46)","('thank', 40)","('president', 39)","('thanks', 38)","('oscars', 37)","('best', 30)","('true', 30)","('good', 23)"
2014-04,0.255752380952381,"('realdonaldtrump', 232)","('great', 94)","('trump', 89)","('would', 67)","('thank', 53)","('thanks', 52)","('nflcommish', 48)","('donald', 45)","('president', 44)","('one', 31)"
2014-05,0.21836633663366334,"('realdonaldtrump', 143)","('trump', 73)","('great', 66)","('thanks', 48)","('run', 42)","('president', 34)","('donald', 32)","('thank', 31)","('golf', 26)","('best', 22)"
2014-06,0.237533512064343,"('realdonaldtrump', 377)","('trump', 151)","('great', 110)","('president', 90)","('thanks', 78)","('sign', 69)","('thank', 60)","('love', 59)","('like', 57)","('would', 53)"
2014-07,0.21944897959183668,"('realdonaldtrump', 181)","('trump', 113)","('president', 49)","('great', 44)","('thanks', 44)","('course', 33)","('thank', 32)","('obama', 31)","('run', 30)","('donald', 29)"
2014-08,0.14801775147929006,"('realdonaldtrump', 124)","('trump', 56)","('great', 33)","('donald', 31)","('would', 25)","('thanks', 23)","('president', 23)","('one', 21)","('good', 17)","('need', 16)"
2014-09,0.21988165680473357,"('realdonaldtrump', 216)","('trump', 77)","('great', 70)","('president', 62)","('thanks', 36)","('would', 35)","('donald', 34)","('run', 34)","('thank', 28)","('obama', 25)"
2014-10,0.1317174959871589,"('realdonaldtrump', 230)","('trump', 123)","('president', 98)","('obama', 81)","('donald', 71)","('ebola', 70)","('run', 63)","('great', 63)","('would', 46)","('please', 35)"
2014-11,0.20835069444444446,"('realdonaldtrump', 292)","('trump', 125)","('president', 95)","('great', 67)","('donald', 51)","('run', 50)","('mr', 37)","('obama', 37)","('would', 30)","('thanks', 29)"
2014-12,0.20588072122052692,"('realdonaldtrump', 419)","('trump', 133)","('president', 102)","('run', 62)","('great', 62)","('donald', 51)","('would', 42)","('need', 39)","('america', 36)","('foxandfriends', 36)"
2015-01,0.215126637554585,"('realdonaldtrump', 718)","('apprenticenbc', 173)","('trump', 166)","('celebapprentice', 129)","('great', 118)","('love', 87)","('via', 87)","('show', 85)","('donald', 80)","('president', 79)"
2015-02,0.23130434782608697,"('realdonaldtrump', 264)","('trump', 88)","('donald', 49)","('apprenticenbc', 49)","('via', 44)","('show', 44)","('great', 39)","('celebrityapprentice', 39)","('apprentice', 35)","('entrepreneurs', 34)"
2015-03,0.20578475336322874,"('realdonaldtrump', 234)","('trump', 102)","('president', 72)","('run', 54)","('great', 46)","('donald', 45)","('entrepreneurs', 33)","('vote', 30)","('would', 30)","('america', 29)"
2015-04,0.20163239074550107,"('realdonaldtrump', 428)","('trump', 146)","('president', 117)","('great', 105)","('run', 94)","('donald', 65)","('would', 57)","('make', 57)","('america', 56)","('country', 53)"
2015-05,0.22041841004184068,"('realdonaldtrump', 321)","('trump', 171)","('great', 119)","('run', 85)","('president', 77)","('donald', 70)","('make', 68)","('america', 64)","('country', 62)","('would', 52)"
2015-06,0.1916856060606061,"('realdonaldtrump', 210)","('trump', 125)","('great', 84)","('donald', 55)","('america', 53)","('president', 45)","('make', 43)","('get', 32)","('thank', 31)","('vote', 31)"
2015-07,0.11493046776232622,"('realdonaldtrump', 281)","('trump', 208)","('great', 102)","('america', 86)","('donald', 71)","('macys', 65)","('via', 61)","('people', 60)","('make', 57)","('thank', 46)"
2015-08,0.19354395604395605,"('realdonaldtrump', 130)","('trump', 89)","('great', 50)","('foxnews', 33)","('makeamericagreatagain', 32)","('megynkelly', 29)","('thank', 28)","('people', 26)","('back', 24)","('bush', 23)"
2015-09,0.14454117647058834,"('realdonaldtrump', 119)","('trump', 82)","('great', 68)","('foxnews', 32)","('thank', 29)","('poll', 27)","('cnn', 22)","('america', 21)","('makeamericagreatagain', 19)","('big', 18)"
2015-10,0.20544080604533976,"('realdonaldtrump', 322)","('trump', 217)","('great', 137)","('donald', 80)","('poll', 59)","('cnn', 54)","('thank', 51)","('debate', 50)","('america', 49)","('thanks', 46)"
2015-11,0.17868600682593855,"('realdonaldtrump', 178)","('trump', 112)","('great', 103)","('thank', 50)","('america', 49)","('makeamericagreatagain', 43)","('new', 43)","('donald', 35)","('people', 35)","('foxnews', 30)"
2015-12,0.14732689210950078,"('realdonaldtrump', 121)","('trump', 120)","('thank', 91)","('great', 90)","('cnn', 67)","('poll', 60)","('makeamericagreatagain', 57)","('america', 56)","('hillary', 55)","('new', 47)"
2016-01,0.1508403361344538,"('trump', 75)","('thank', 73)","('great', 72)","('realdonaldtrump', 63)","('cruz', 58)","('iowa', 47)","('new', 46)","('ted', 33)","('people', 33)","('poll', 32)"
2016-02,0.12492569002123136,"('cruz', 79)","('thank', 65)","('great', 65)","('trump', 61)","('realdonaldtrump', 56)","('rubio', 47)","('ted', 44)","('makeamericagreatagain', 43)","('new', 42)","('america', 40)"
2016-03,0.10627684964200472,"('thank', 75)","('trump', 54)","('great', 52)","('makeamericagreatagain', 38)","('people', 35)","('cruz', 32)","('ted', 29)","('realdonaldtrump', 28)","('big', 27)","('america', 26)"
2016-04,0.21063432835820883,"('thank', 65)","('great', 59)","('makeamericagreatagain', 40)","('realdonaldtrump', 38)","('new', 35)","('trump', 30)","('york', 27)","('america', 21)","('make', 20)","('wisconsin', 18)"
2016-05,0.1776608187134503,"('hillary', 68)","('great', 55)","('thank', 54)","('crooked', 50)","('realdonaldtrump', 43)","('trump', 41)","('nytimes', 25)","('clinton', 25)","('america', 24)","('women', 20)"
2016-06,0.0981724137931034,"('hillary', 63)","('thank', 41)","('great', 40)","('realdonaldtrump', 36)","('crooked', 35)","('clinton', 35)","('trump', 26)","('president', 23)","('bad', 22)","('people', 21)"
2016-07,0.07313390313390317,"('hillary', 82)","('crooked', 67)","('great', 48)","('clinton', 46)","('thank', 41)","('bernie', 37)","('people', 35)","('country', 21)","('bad', 20)","('convention', 20)"
2016-08,0.06086142322097382,"('thank', 47)","('hillary', 41)","('great', 32)","('clinton', 27)","('media', 21)","('people', 21)","('imwithyou', 18)","('cnn', 17)","('crooked', 17)","('makeamericagreatagain', 16)"
2016-09,0.13812030075187964,"('thank', 67)","('great', 43)","('hillary', 39)","('join', 26)","('americafirst', 24)","('clinton', 24)","('maga', 23)","('people', 20)","('trump', 20)","('america', 20)"
2016-10,0.07905376344086025,"('hillary', 67)","('thank', 64)","('clinton', 60)","('draintheswamp', 54)","('debate', 49)","('great', 42)","('bigleaguetruth', 40)","('join', 39)","('get', 35)","('–', 35)"
2016-11,0.16911111111111127,"('great', 40)","('thank', 26)","('trump', 17)","('make', 17)","('win', 16)","('watch', 15)","('america', 15)","('going', 15)","('vote', 14)","('clinton', 14)"
2016-12,0.16253846153846158,"('great', 21)","('thank', 16)","('today', 12)","('states', 11)","('time', 10)","('tickets', 10)","('united', 10)","('would', 9)","('election', 9)","('trump', 9)"
2017-01,0.08645320197044336,"('great', 27)","('people', 22)","('trump', 21)","('back', 16)","('thank', 15)","('big', 14)","('media', 14)","('news', 14)","('jobs', 14)","('never', 13)"
2017-02,0.0746896551724138,"('great', 24)","('fake', 20)","('news', 19)","('media', 16)","('people', 15)","('country', 13)","('big', 10)","('prime', 9)","('minister', 9)","('nytimes', 9)"
2017-03,0.14852713178294583,"('great', 33)","('today', 14)","('american', 12)","('jobs', 12)","('healthcare', 11)","('russia', 11)","('election', 10)","('thank', 10)","('big', 10)","('obamacare', 10)"
2017-04,0.13882352941176476,"('great', 25)","('big', 15)","('today', 14)","('democrats', 11)","('media', 10)","('president', 10)","('fake', 9)","('china', 8)","('jobs', 8)","('obamacare', 8)"
2017-05,0.1430882352941176,"('great', 22)","('today', 14)","('fake', 14)","('news', 12)","('big', 12)","('media', 11)","('honor', 10)","('comey', 10)","('america', 9)","('healthcare', 9)"
2017-06,0.15200000000000005,"('great', 33)","('news', 19)","('people', 15)","('america', 15)","('fake', 14)","('new', 13)","('jobs', 13)","('american', 13)","('today', 11)","('big', 11)"
2017-07,0.14668141592920356,"('great', 40)","('people', 18)","('republicans', 17)","('fake', 17)","('thank', 17)","('news', 17)","('president', 15)","('healthcare', 15)","('new', 14)","('america', 14)"
2017-08,0.18031578947368432,"('great', 43)","('news', 18)","('thank', 18)","('fake', 17)","('people', 14)","('ever', 13)","('military', 11)","('many', 11)","('united', 10)","('texas', 10)"
2017-09,0.2003347280334727,"('great', 71)","('people', 40)","('country', 23)","('thank', 21)","('puerto', 20)","('rico', 20)","('big', 18)","('many', 17)","('first', 15)","('korea', 15)"
2017-10,0.1539043824701195,"('great', 50)","('tax', 33)","('news', 30)","('fake', 26)","('people', 23)","('cuts', 18)","('country', 17)","('much', 14)","('thank', 14)","('today', 14)"
2017-11,0.17487068965517233,"('great', 64)","('tax', 29)","('president', 26)","('china', 24)","('people', 22)","('cuts', 21)","('thank', 21)","('years', 20)","('would', 19)","('much', 17)"
2017-12,0.1673053892215569,"('great', 46)","('news', 32)","('tax', 31)","('america', 26)","('fake', 26)","('year', 20)","('people', 18)","('would', 16)","('many', 16)","('cut', 16)"
2018-01,0.1566850828729282,"('great', 55)","('want', 27)","('country', 25)","('news', 25)","('daca', 24)","('america', 23)","('people', 23)","('democrats', 23)","('security', 21)","('military', 21)"
2018-02,0.1469753086419754,"('great', 42)","('people', 22)","('want', 20)","('daca', 20)","('republicans', 18)","('election', 17)","('trump', 16)","('president', 16)","('obama', 16)","('democrats', 15)"
2018-03,0.18392405063291137,"('great', 38)","('trade', 26)","('country', 23)","('many', 22)","('jobs', 19)","('must', 17)","('good', 15)","('people', 13)","('billion', 13)","('much', 12)"
2018-04,0.14567441860465116,"('great', 65)","('people', 46)","('border', 29)","('fake', 21)","('country', 21)","('comey', 20)","('good', 20)","('many', 19)","('news', 19)","('president', 18)"
2018-05,0.1779828326180256,"('great', 67)","('people', 28)","('democrats', 26)","('campaign', 25)","('china', 25)","('president', 25)","('north', 21)","('today', 21)","('witch', 20)","('hunt', 20)"
2018-06,0.1544444444444444,"('great', 79)","('people', 48)","('trade', 45)","('crime', 40)","('democrats', 38)","('country', 37)","('many', 35)","('big', 33)","('immigration', 31)","('news', 28)"
2018-07,0.14675572519083965,"('great', 76)","('many', 35)","('news', 32)","('democrats', 31)","('fake', 29)","('people', 29)","('country', 27)","('trade', 26)","('big', 24)","('must', 24)"
2018-08,0.13888544891640858,"('great', 87)","('big', 42)","('fake', 40)","('trump', 39)","('people', 39)","('news', 34)","('time', 31)","('fbi', 27)","('total', 27)","('win', 26)"
2018-09,0.17263157894736839,"('great', 55)","('people', 34)","('trump', 29)","('president', 27)","('get', 24)","('democrats', 24)","('like', 23)","('thank', 20)","('new', 19)","('years', 18)"
2018-10,0.16651757188498398,"('great', 104)","('people', 43)","('country', 38)","('vote', 35)","('thank', 34)","('state', 31)","('endorsement', 28)","('border', 27)","('strong', 26)","('news', 26)"
2018-11,0.19,"('great', 75)","('vote', 51)","('get', 41)","('people', 39)","('country', 29)","('many', 26)","('thank', 25)","('florida', 24)","('border', 22)","('new', 22)"
