,words,count
0,realdonaldtrump,8569
1,great,6623
2,trump,4950
3,…,4045
4,thank,3019
5,president,2820
6,people,2650
7,thanks,2161
8,would,1991
9,get,1947
10,new,1944
11,country,1880
12,like,1719
13,america,1690
14,big,1674
15,donald,1673
16,good,1654
17,time,1631
18,one,1557
19,make,1548
20,never,1473
21,obama,1463
22,many,1435
23,news,1299
24,going,1243
25,much,1218
26,back,1200
27,vote,1172
28,run,1166
29,today,1139
30,want,1121
31,best,1103
32,see,1074
33,love,1061
34,job,1053
35,need,1052
36,democrats,1052
37,think,1025
38,even,1012
39,must,1011
40,really,973
41,years,966
42,go,958
43,fake,919
44,last,912
45,china,911
46,true,904
47,dont,903
48,know,895
49,bad,887
50,win,877
51,way,875
52,american,873
53,work,856
54,via,855
55,deal,842
56,done,838
57,show,837
58,hillary,833
59,ever,819
60,border,801
61,day,800
62,world,797
63,media,789
64,said,788
65,nothing,777
66,first,775
67,foxnews,768
68,tonight,757
69,jobs,751
70,right,747
71,better,744
72,made,739
73,watch,716
74,house,704
75,states,702
76,well,688
77,night,686
78,got,679
79,united,677
80,look,676
81,always,667
82,keep,660
83,mr,648
84,foxandfriends,643
85,state,642
86,total,642
87,barackobama,636
88,hard,630
89,interview,629
90,money,627
91,cant,616
92,amazing,604
93,take,604
94,looking,603
95,election,602
96,real,594
97,year,592
98,please,591
99,don’t,588
100,national,586
101,man,584
102,also,580
103,say,580
104,–,575
105,strong,575
106,republican,573
107,military,571
108,nice,563
109,cnn,557
110,im,553
111,cont,549
112,business,546
113,another,546
114,could,544
115,forward,542
116,golf,520
117,far,519
118,happy,516
119,usa,515
120,congratulations,515
121,two,513
122,hope,511
123,campaign,509
124,clinton,509
125,record,504
126,give,502
127,republicans,498
128,next,498
129,long,497
130,makeamericagreatagain,497
131,things,495
132,apprentice,492
133,stop,488
134,working,487
135,trade,487
136,obamacare,487
137,history,484
138,come,483
139,getting,471
140,economy,471
141,party,470
142,believe,468
143,help,467
144,soon,465
145,poll,464
146,wall,464
147,support,463
148,needs,460
149,every,457
150,tomorrow,455
151,everyone,449
152,totally,449
153,dems,442
154,celebapprentice,441
155,course,433
156,wonderful,426
157,crime,425
158,tax,425
159,pm,425
160,book,419
161,apprenticenbc,417
162,york,417
163,white,416
164,security,415
165,crooked,409
166,debate,408
167,wow,405
168,honor,404
169,others,404
170,let,403
171,beautiful,402
172,youre,402
173,making,394
174,russia,391
175,success,388
176,congress,387
177,wrong,386
178,fantastic,384
179,coming,382
180,north,381
181,smart,378
182,together,374
183,put,374
184,enjoy,373
185,guy,373
186,place,371
187,morning,367
188,left,367
189,read,365
190,office,363
191,gop,361
192,agree,359
193,thing,359
194,remember,358
195,numbers,357
196,iran,356
197,washington,354
198,democrat,354
199,bill,353
200,story,353
201,call,351
202,ratings,350
203,americans,350
204,u,348
205,watching,347
206,high,343
207,witch,340
208,john,339
209,illegal,338
210,speech,336
211,wants,335
212,tough,335
213,live,334
214,running,332
215,terrible,331
216,hunt,329
217,dollars,327
218,mexico,327
219,it’s,326
220,government,326
221,yesterday,324
222,wait,323
223,end,323
224,person,322
225,times,321
226,since,319
227,leader,318
228,nbc,317
229,meeting,315
230,still,315
231,immigration,314
232,open,313
233,life,312
234,sure,312
235,senate,310
236,mittromney,309
237,report,308
238,presidential,308
239,change,307
240,florida,306
241,family,306
242,important,306
243,fact,306
244,talk,305
245,join,305
246,administration,304
247,endorsement,304
248,countries,303
249,start,303
